2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *239 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/10907.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/10907.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *240 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/14056.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/14056.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *238 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/16702.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/16702.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *241 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/30929.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/30929.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *238 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/10907.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/10907.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *236 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/14056.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/14056.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *239 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/16702.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/16702.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:26:28 [error] 4386#0: *240 open() "/Users/xuefeihu/hugege/code-sublime/zhyuge/html/章鱼哥电影_files/30929.jpg" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /%E7%AB%A0%E9%B1%BC%E5%93%A5%E7%94%B5%E5%BD%B1_files/30929.jpg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/11/21 17:27:14 [error] 4386#0: *238 [lua] movie.lua:28: FUCK YOU MAN: , client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:27:14 [error] 4386#0: *238 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
